Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,116.0999984741211,116.91000366210938,113.55000305175781,114.4800033569336,102.15062713623047,2133100
2018-03-20,114.98999786376953,116.04000091552734,114.68000030517578,115.55999755859375,103.11431121826172,1959900
2018-03-21,115.55000305175781,117.22000122070312,115.19999694824219,116.36000061035156,103.82815551757812,4032800
2018-03-22,115.11000061035156,115.68000030517578,113.06999969482422,113.13999938964844,100.95494842529297,2175400
2018-03-23,113.45999908447266,114.43000030517578,109.13999938964844,109.19999694824219,97.43926239013672,3457300
2018-03-26,110.94999694824219,114.36000061035156,110.94999694824219,114.05999755859375,101.7758560180664,8494400
2018-03-27,114.41000366210938,115.23999786376953,111.66000366210938,112.26000213623047,100.16973876953125,7447500
2018-03-28,112.63999938964844,113.19999694824219,111.29000091552734,111.76000213623047,99.72357177734375,2573800
2018-03-29,111.87999725341797,114.63999938964844,111.2300033569336,113.4800033569336,101.25833892822266,1914600
2018-04-02,115.25,115.72000122070312,111.77999877929688,113.30000305175781,101.09772491455078,3450700
2018-04-03,113.9800033569336,114.51000213623047,112.68000030517578,114.04000091552734,101.7580337524414,2544600
2018-04-04,112.95999908447266,117.04000091552734,112.58000183105469,116.72000122070312,104.1493911743164,8453400
2018-04-05,117.6500015258789,118.69999694824219,116.91999816894531,117.51000213623047,104.85430145263672,2809100
2018-04-06,116.41000366210938,116.87999725341797,113.3499984741211,113.69999694824219,101.45462799072266,2334100
2018-04-09,114.48999786376953,116.26000213623047,113.97000122070312,114.44000244140625,102.11492919921875,2016400
2018-04-10,115.97000122070312,116.79000091552734,115.23999786376953,115.91000366210938,103.4266357421875,2720100
2018-04-11,114.63999938964844,115.94000244140625,114.36000061035156,115.58000183105469,103.13217163085938,1356200
2018-04-12,116.04000091552734,116.70999908447266,115.18000030517578,115.26000213623047,102.84662628173828,1694300
2018-04-13,115.94999694824219,116.19999694824219,114.4800033569336,115.2699966430664,102.85553741455078,1565600
2018-04-16,116.44000244140625,117.51000213623047,115.80000305175781,116.91000366210938,104.31890869140625,2425300
2018-04-17,118.3499984741211,119.0,117.33000183105469,117.88999938964844,105.193359375,3523600
2018-04-18,118.0199966430664,119.58999633789062,117.5999984741211,118.61000061035156,105.83583068847656,2008100
2018-04-19,118.37999725341797,119.02999877929688,117.1500015258789,117.75,105.06844329833984,1955400
2018-04-20,117.5,118.11000061035156,115.97000122070312,116.83999633789062,104.25645446777344,2213900
2018-04-23,117.26000213623047,117.76000213623047,116.94999694824219,117.0999984741211,104.48844909667969,1725100
2018-04-24,118.05000305175781,118.69999694824219,115.44000244140625,116.31999969482422,103.79246520996094,1417600
2018-04-25,116.36000061035156,116.81999969482422,115.30000305175781,116.69999694824219,104.13153839111328,1656100
2018-04-26,116.9800033569336,118.70999908447266,116.5,118.69000244140625,105.90721130371094,1598200
2018-04-27,118.44000244140625,120.08999633789062,118.25,119.87999725341797,106.96904754638672,2079300
2018-04-30,120.0,120.13999938964844,118.05999755859375,118.08000183105469,105.36289978027344,2828000
2018-05-01,112.6500015258789,119.13999938964844,112.58000183105469,118.80000305175781,106.00537872314453,2527400
2018-05-02,123.01000213623047,123.98999786376953,120.27999877929688,122.05999755859375,108.91426849365234,5422000
2018-05-03,121.66999816894531,123.58999633789062,120.58000183105469,123.0999984741211,109.84227752685547,4370400
2018-05-04,122.5,125.93000030517578,121.97000122070312,125.36000061035156,111.85887145996094,2999500
2018-05-07,125.3499984741211,125.86000061035156,124.87999725341797,125.56999969482422,112.0462417602539,2677200
2018-05-08,125.5999984741211,126.02999877929688,124.8499984741211,125.7699966430664,112.22470092773438,2766700
2018-05-09,126.08999633789062,127.91999816894531,125.87000274658203,127.04000091552734,113.3579330444336,3047200
2018-05-10,127.48999786376953,127.69999694824219,126.77999877929688,127.38999938964844,113.67024230957031,2386400
2018-05-11,127.58000183105469,127.91000366210938,126.61000061035156,127.33999633789062,113.62561798095703,1578100
2018-05-14,127.55999755859375,127.72000122070312,126.22000122070312,126.68000030517578,113.03669738769531,1884000
2018-05-15,125.95999908447266,129.50999450683594,125.27999877929688,127.06999969482422,113.38471221923828,2413800
2018-05-16,127.19000244140625,128.57000732421875,126.94999694824219,128.02000427246094,114.23239135742188,1607800
2018-05-17,127.9000015258789,129.05999755859375,127.0,127.98999786376953,114.20563507080078,1610300
2018-05-18,128.25999450683594,129.25,127.68000030517578,128.91000366210938,115.02652740478516,1858900
2018-05-21,129.2100067138672,129.6999969482422,128.58999633789062,128.83999633789062,114.96409606933594,1412300
2018-05-22,129.0,129.47999572753906,127.95999908447266,128.3800048828125,114.55361938476562,1713200
2018-05-23,127.4000015258789,129.41000366210938,127.13999938964844,129.36000061035156,115.42806243896484,1635300
2018-05-24,129.27999877929688,130.44000244140625,128.44000244140625,130.27000427246094,116.24008178710938,1265800
2018-05-25,130.27000427246094,131.02000427246094,129.72000122070312,130.64999389648438,116.57914733886719,1322900
2018-05-29,129.6999969482422,130.35000610351562,128.67999267578125,129.92999267578125,115.93666076660156,1685500
2018-05-30,130.57000732421875,132.0500030517578,130.25999450683594,130.6300048828125,116.561279296875,1906000
2018-05-31,130.9199981689453,131.41000366210938,129.75,130.02000427246094,116.01701354980469,3318700
2018-06-01,130.6199951171875,132.7899932861328,130.6199951171875,132.72999572753906,118.43511199951172,2186800
